country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
India,1975-01-01,60.4381152903111,,2973190.0,1083.0,1.92443614806314,,,,,114.48151944199,,,209.715564427433,5.74843029767432,,,,,9.02450290812779,10.1123721143481,,,,,,,,,3.53459878110716,98472796456.884,,,,,,,,,,,37.937,15.381,50.812,623524219.0,490514033.0,,,
India,1976-01-01,60.4229800315486,,2973190.0,1083.0,2.13807961566302,,,,,124.158475517339,,,214.399835866527,-7.63394763392876,,,,,9.18183799053208,10.6293661861925,,,,,,,,,3.4778831428908,102717164466.397,,,,,,,,,,,37.665,15.009,51.388,637451448.0,499271098.0,,,
India,1977-01-01,60.4034723646992,,2973190.0,1083.0,2.14236103247306,,,,,126.396833781334,,,219.187346923675,8.30747009171162,,,,,8.59709420636431,10.5053165030917,,,,,,,,,3.16277193712918,121486645611.522,,,,,,,,,,33.3,36.89,14.662,51.909,651685628.0,508145352.0,,,
India,1978-01-01,60.7401477873933,,2973190.0,1083.0,2.30300929385253,,,,,136.168978069718,,,224.091887837642,2.52304875695182,10.7746313302481,,,,9.30227453027132,11.2699438970886,,,,,,,,,3.12633170169882,137300295313.3,,,,,,,,,,,36.383,14.288,52.492,666267760.0,517163698.0,,,
India,1979-01-01,60.73611171839,,2973190.0,1083.0,2.74697396197611,,,,,136.089864304309,,,229.130456849377,6.27568336762338,-1.06114574577495,,,,9.68904892316569,12.3144477459814,,,,,,,,,3.26132865787541,152991653793.77,,,,,,,,,,,36.252,13.965,53.06,681248383.0,526359751.0,,,
India,1980-01-01,60.632519280638,,2973190.0,1083.0,3.19468474081461,,,,,142.139732152272,,,234.370620444708,11.3460734795094,4.47650826090093,,,,9.02607173865502,11.7024781243222,,,,,,,,,3.13378132972583,186325345086.661,,,,,,,,,,,36.214,13.676,53.611,696828385.0,535874965.0,,,
India,1981-01-01,60.6759070224237,,2973190.0,1083.0,3.12483857994083,,,,,152.415036395634,,,239.765806423404,13.112546897642,5.11823674143201,,,,9.21369031479097,11.3760338675304,,,,,,,,,3.18624812218328,193491373249.4,,,,,,,,,,,36.024,13.37,54.175,712869298.0,545936694.0,,,
India,1982-01-01,60.8003524833596,,2973190.0,1083.0,3.19064930533728,,,,,158.765561913971,,,245.248189991222,7.8907427937749,7.77470724439598,,,,9.26912135161155,11.9598728186121,,,,,,,,,3.34511766555139,200715633588.789,,,,,,,,,,,35.605,13.044,54.732,729169466.0,556742762.0,,,
India,1983-01-01,60.696423706524,,2973190.0,1083.0,3.20492588413457,,,,,166.487772077772,,,250.850617014049,11.8680812986734,7.32098668508481,,,,9.26849740618579,12.0777926988042,,,,,,,,,3.3230686597074,218262154670.612,,,,,,,,,,32.1,35.3,12.72,55.281,745826546.0,567730625.0,,,
India,1984-01-01,61.0293993992984,,2973190.0,1083.0,3.2398228100961,,,,,184.248122293753,,,256.591457659954,8.3189071186007,7.94709992039818,,,,9.30653986438454,13.142959684918,,,,,,,,,3.41687559436328,212157639237.202,,,,,,,,,,,35.094,12.412,55.816,762895156.0,578938247.0,,,
India,1985-01-01,60.991729421934,,2973190.0,1083.0,3.13408207666638,,,,,194.556283380377,,,262.425907526932,5.55642423236555,8.68167358478664,,,,10.0754185428104,14.3789451249477,,,,,,,,,3.5690302776083,232511561180.057,,,,,,,,,,,34.602,12.102,56.334,780242084.0,590268741.0,,,
India,1986-01-01,60.9419512375597,,2973190.0,1083.0,2.88110710180359,,,,,209.044230344839,,,268.357889337715,8.72972072702588,9.09322414508824,,,,10.4273088592738,15.3386382361334,,,,,,,,,4.10646868066223,248985994042.212,,,,,,,,,,,34.483,11.82,56.835,797878993.0,601720443.0,,,
India,1987-01-01,61.0600062559069,,2973190.0,1083.0,2.86437809748302,,,,,221.291444986453,,,274.357213968835,8.80112581251833,6.56018009415452,,,,10.4083099657377,15.7672189200597,,,,,,,,,4.2313175270108,279033584092.223,,,,,,,,,,32.6,33.681,11.522,57.315,815716125.0,613230911.0,,,
India,1988-01-01,60.907980990115,,2973190.0,1083.0,3.07248850804449,,,,,241.102127681118,,,280.415876886442,9.38347186185332,7.63863299594509,,,,10.3567380103189,15.5195025033193,,,,,,,,,3.72867178276269,296589677725.074,,,,,,,,,,,33.166,11.236,57.777,833729681.0,624772011.0,,,
India,1989-01-01,61.0458800143953,,2973190.0,1083.0,3.38244224174436,,,,,258.041936425516,,,286.565161661381,7.07428002942298,7.43584324824212,,,,10.4683445142138,15.9715336420431,,,,,,,,,3.53417972767288,296042058867.01,,,,,,,,,,,32.549,10.956,58.233,852012673.0,636410866.0,,,
India,1990-01-01,61.0162821750376,21.5048483278902,2973190.0,1083.0,3.33804100683153,,,,52.95,272.946647217541,563575.4,1237962.799,292.767083502904,8.97123250273256,5.26952699827423,,,50.7832537948314,9.99359139610285,15.4842170785554,,,,,,,0.0,,3.14621461029962,320979026420.035,,,,,,,,,,,31.816,10.691,58.652,870452165.0,648077750.0,,,5.07345512777259
